asin,product_rating,price,brand
B00000K4KH,4.257142857142857,20.99,Kensington
B00000K4LF,2.8,22.47,
B00001MXYW,2.6666666666666665,,
B00001OPJ1,4.4,,
B00001OPJQ,4.0,,
B00001OPJV,3.2,169.99,
B00001OPJZ,4.3076923076923075,145.95,
B00001OWYM,3.5454545454545454,9.0,Maxell
B00001OXQ9,4.6,,
B00001P4XA,3.7848101265822787,9.4,Koss
B00001P4XH,4.065217391304348,7.55,Koss
B00001P4ZH,4.464730290456432,39.36,Koss
B00001P4ZR,4.148936170212766,48.99,Koss
B00001P505,4.434210526315789,22.9,Koss
B00001P584,3.2,143.95,AudioSource
B00001QEAE,5.0,19.79,
B00001QEMF,4.785714285714286,,
B00001QHP5,4.0,349.0,Nikon
B00001RMCY,4.909090909090909,11.9,SanDisk
B00001RME8,4.0,,
B00001U0AJ,2.875,67.99,
B00001W0D4,4.25,37.95,
B00001W0D5,3.6666666666666665,4.54,
B00001W0DC,4.2,36.95,Sony
B00001W0DD,4.111111111111111,43.99,
B00001W0DG,3.6666666666666665,139.95,Sony
B00001W0DH,4.410714285714286,57.2,
B00001W0DI,4.36231884057971,349.95,
B00001W0EQ,4.014285714285714,27.99,Plantronics
B00001W0H1,4.4,19.99,Sony
B00001WRSJ,4.630272952853598,99.0,
B00001X5AL,3.2,,
B00001YVG4,4.8,,
B00001ZT4H,4.529411764705882,180.0,Sony
B00001ZWRV,3.8333333333333335,9.99,
B00001ZWTY,4.2,99.0,
B00001ZWXA,4.3161764705882355,6.9,BELKIN
B0000206CT,4.833333333333333,9.91,
B000021YU8,4.7272727272727275,13.59,
B000021YUL,4.8,,
B000021YUO,4.7272727272727275,13.59,
B0000222MY,3.769230769230769,39.24,
B0000225BA,5.0,343.99,Reelcraft
B0000225BD,4.142857142857143,49.5,Alert Stamping
B0000226IH,4.166666666666667,37.08,Sangean
B0000226L0,3.625,66.29,Sangean
B0000226QJ,4.333333333333333,44.6,
B0000228GF,3.75,34.56,Sangean
B0000228GG,4.0588235294117645,131.28,
B000023VUE,5.0,59.99,D-Link
B000023VUL,4.388888888888889,6.99,
B000023VW2,4.243243243243243,10.88,Sangean
B000026D8E,2.981818181818182,75.0,Seagate
B000028F42,3.4545454545454546,16.99,
B00002EQCS,4.242424242424242,42.75,Netgear
B00002EQCW,4.601895734597156,21.98,Netgear
B00002JXFH,4.357142857142857,31.99,
B00002MZ8G,4.714285714285714,30.0,
B00002N5E4,3.142857142857143,18.49,Heath/Zenith
B00002N7FQ,4.538461538461538,14.53,
B00002NAXD,4.833333333333333,6.99,Leviton
B00002NDRF,4.6,14.8,DYMO
B00002NDRQ,4.574074074074074,5.43,DYMO
B00002ST80,3.4285714285714284,,
B00002SWHH,4.258064516129032,37.33,
B00002SWUE,4.416666666666667,,
B000030068,4.0,79.0,
B00003006E,4.3076923076923075,52.95,Linksys
B00003006K,4.472222222222222,24.99,Linksys
B00003006R,4.357142857142857,9.99,
B0000300QN,4.75,185.0,Iomega
B0000300QQ,3.0,99.93,Iomega
B0000303I7,5.0,23.6,
B000031KIM,4.5,49.99,
B000031WCH,5.0,17.67,
B0000326O1,4.076923076923077,,
B0000326O3,4.454545454545454,,
B0000365CI,4.1,7.33,
B000038AB2,4.277777777777778,,
B000038ABH,3.8333333333333335,,
B00003CW9Q,4.055555555555555,19.95,
B00003CWA6,3.5,4.45,
B00003CWC9,4.6,,
B00003CWDG,4.226415094339623,20.67,
B00003CWDH,4.48062015503876,33.07,Monster
B00003CWDK,4.666666666666667,34.77,Monster
B00003CWDQ,4.0,29.99,Monster
B00003CWDU,5.0,29.99,
B00003CWDW,5.0,9.99,Monster
B00003CWE5,3.7777777777777777,9.99,
B00003CWEI,4.5,9.99,
B00003CWEX,3.2,9.95,
B00003CWFA,4.428571428571429,36.96,
B00003CWG2,4.533333333333333,12.95,
B00003CWG3,4.4,12.95,
B00003CWG4,4.0,12.95,
B00003ETSJ,3.3,14.98,
B00003G1LP,3.7142857142857144,,
B00003G1RC,5.0,,
B00003G1RE,4.5,,
B00003G1RG,4.676470588235294,13.99,
B00003G1RJ,5.0,,
B00003GO0E,4.666666666666667,59.99,TDK
B00003IEMD,4.636363636363637,4.75,Energizer
B00003OPEU,4.111111111111111,97.89,
B00003OPEV,4.333333333333333,169.9,
B00003WGP5,3.914285714285714,97.89,
B00003ZDJ7,4.5,26.99,
B0000488VI,4.25,42.88,
B0000488VK,3.0,24.77,
B00004L8IG,4.75,34.44,
B00004LC7Z,3.3333333333333335,,
B00004NKHY,4.0,88.0,
B00004OCOX,4.875,,
B00004R7OI,3.5,,
B00004R8V6,4.125,7.49,
B00004R8VC,4.708333333333333,19.89,
B00004R8VE,4.75,5.75,
B00004R8VM,4.0,33.0,
B00004RC2D,4.441860465116279,49.99,
B00004RC2E,4.25,5.41,
B00004RC2G,4.875,,
B00004RC2I,4.75,0.01,Palm
B00004RD8K,3.857142857142857,145.95,
B00004RDL5,3.8461538461538463,145.95,
B00004RDMR,4.470588235294118,149.99,
B00004RG6K,3.769230769230769,,
B00004RIGR,4.333333333333333,,
B00004RIPE,4.428571428571429,79.95,
B00004RIUB,3.125,4.95,
B00004RIUJ,4.2,,
B00004S9AK,4.45945945945946,23.57,
B00004SABB,3.9555555555555557,,
B00004SABH,4.833333333333333,,
B00004SABJ,3.689655172413793,,
B00004SB92,4.131147540983607,74.99,
B00004SB94,4.666666666666667,10.0,Linksys
B00004SB96,4.181818181818182,10.95,
B00004SB98,4.0,,
B00004SB99,4.333333333333333,23.6,
B00004SC3Y,4.714285714285714,12.99,
B00004SCKA,4.777777777777778,49.95,SanDisk
B00004SD87,2.8333333333333335,79.0,
B00004SD88,4.0,181.0,
B00004SD89,4.571428571428571,22.49,
B00004SGD3,4.090909090909091,,
B00004SP9W,4.4,6.72,Kodak
B00004SPC0,3.6,,
B00004SPUN,3.7857142857142856,149.95,Rio
B00004SQET,4.717391304347826,14.29,Coleman Cable
B00004SQGI,5.0,9.33,Coleman Cable
B00004STHL,2.4545454545454546,190.0,
B00004STQK,3.8,,
B00004SU73,3.8,15.42,Kodak
B00004SUG7,4.666666666666667,17.99,
B00004SV1W,4.777777777777778,,
B00004SY4H,4.7254901960784315,339.0,Sennheiser
B00004SY5G,4.6,,
B00004SYB7,4.8,39.72,
B00004SYKO,5.0,14.09,Maxell
B00004SYNW,2.0,,
B00004SYNX,4.212121212121212,9.99,D-Link
B00004SYVH,3.8333333333333335,,
B00004T0RC,4.461538461538462,245.0,HP
B00004T1XE,4.147540983606557,17.15,Panasonic
B00004T1XK,4.105263157894737,66.95,Panasonic
B00004T2LJ,4.5,61.96,
B00004T8R2,4.378623188405797,7.38,Panasonic
B00004TBBA,4.777777777777778,,
B00004TBLW,4.431034482758621,29.95,Bushnell
B00004TCTK,4.571428571428571,,
B00004TDL2,4.043478260869565,230.0,
B00004TDLD,4.944444444444445,7.49,Learning Resources
B00004TDMX,4.3,,
B00004TDN0,4.611111111111111,223.95,
B00004TDN2,4.5,223.95,
B00004TDN4,4.846153846153846,,
B00004TDN7,3.888888888888889,,
B00004TDRH,4.1,3.75,Energizer
B00004TDSA,4.6,8.22,Energizer
B00004TDSC,4.368421052631579,7.22,Energizer
B00004TDWY,4.0,6.99,
B00004TEN2,4.071428571428571,51.24,
B00004TENT,5.0,19.89,
B00004TEUK,4.0,155.26,
B00004TF4V,4.8,39.99,LandWare
B00004TH2W,4.6,,
B00004TH2X,3.8333333333333335,,
B00004TH9M,3.857142857142857,5.72,
B00004THCX,4.111111111111111,125.0,
B00004THCY,3.7,125.0,
B00004THCZ,4.171673819742489,234.0,Canon
B00004THD4,4.0,37.95,
B00004THDE,4.541666666666667,,
B00004THM6,4.111111111111111,199.0,
B00004THM7,4.857142857142857,299.0,
B00004TJ0L,4.533333333333333,7.95,
B00004TJ7O,4.909090909090909,5.75,
B00004TJ7S,4.8,13.59,
B00004TKVD,4.090909090909091,71.04,Cobra
B00004TL5Q,4.238095238095238,44.95,
B00004TL5W,3.8,,
B00004TRD9,4.285714285714286,39.0,Linksys
B00004TS16,4.666666666666667,36.19,
B00004TS39,4.7,9.89,Brother
B00004TS3B,4.6,13.94,Brother
B00004TS3D,4.6,15.34,Brother
B00004TS3P,4.666666666666667,16.59,Brother
B00004TVSP,4.215686274509804,75.0,Vivitar
B00004TWLY,4.571428571428571,9.95,Fujifilm
B00004TWM0,4.6,11.71,Fujifilm
B00004TWM3,4.285714285714286,12.99,
B00004TWM6,3.5208333333333335,6.6,Fujifilm
B00004TWVY,4.857142857142857,22.99,TDK
B00004TX68,5.0,,
B00004TX6Z,4.742857142857143,19.95,
B00004TX71,4.533333333333333,29.8,
B00004TX77,4.5,69.95,
B00004TX7E,4.4,29.99,
B00004TY7F,4.8,23.49,
B00004TY7O,4.375,49.95,
B00004TY7Q,4.6,,
B00004TYBM,4.454545454545454,89.95,Velbon
B00004TZE5,4.625,10.07,
B00004TZF9,4.266666666666667,4.99,Case Logic
B00004TZFM,3.8333333333333335,9.8,Case Logic
B00004TZJI,4.166666666666667,,
B00004TZJQ,3.6666666666666665,,
B00004U12J,4.428571428571429,9.91,
B00004U3AW,4.555555555555555,9.91,
B00004U47J,4.0,86.0,
B00004U4MT,4.363636363636363,,
B00004U4S7,4.4,,
B00004U5VM,5.0,6.99,
B00004U89W,4.875,39.99,
B00004U8B8,3.4285714285714284,13.59,
B00004U8JS,3.4285714285714284,11.45,Midland
B00004U8K4,1.8,68.57,
B00004U8LO,4.6,12.95,
B00004UDQ1,4.777777777777778,491.0,
B00004UE2R,3.9166666666666665,81.1,
B00004UFQJ,4.428571428571429,,
B00004UFQR,4.25,139.99,
B00004VUGJ,4.234782608695652,239.99,Logitech
B00004VUM1,4.428571428571429,3.89,
B00004VUMF,4.375,47.99,
B00004VUMG,4.2,,
B00004VVA4,4.375,16.95,Meade
B00004VWM3,4.081081081081081,140.98,
B00004VX14,3.0,26.99,Garmin
B00004VX15,3.5737704918032787,15.21,Garmin
B00004VX39,3.9,12.56,Garmin
B00004VX3A,4.571428571428571,35.18,
B00004VX3T,4.36734693877551,23.57,
B00004VXN2,3.6,179.99,
B00004VXNF,4.466666666666667,40.95,Uniden
B00004VXNI,4.571428571428571,49.77,Uniden
B00004VXNY,3.9166666666666665,40.7,
B00004VXO2,4.6,109.99,Uniden
B00004W3YK,4.666666666666667,,
B00004W3YX,4.545454545454546,14.45,
B00004W3ZQ,4.466019417475728,18.4,Legrand
B00004WCBT,4.375,,
B00004WCBU,4.6,,
B00004WCCQ,3.7142857142857144,19.99,
B00004WCEY,4.823529411764706,239.99,Canon
B00004WCFT,4.465116279069767,8.5,Canon
B00004WCFY,4.194444444444445,219.95,Canon
B00004WCG6,3.5833333333333335,15.0,
B00004WCGC,4.526315789473684,69.95,Canon
B00004WCGD,4.857142857142857,56.95,Canon
B00004WCGF,4.456043956043956,24.89,Canon
B00004WCI7,4.6875,537.96,Canon
B00004WCIA,4.1,179.99,
B00004WCIC,4.55050505050505,19.95,
B00004WCID,4.592,23.99,Canon
B00004WGNF,4.545454545454546,7.33,
B00004WHE5,4.625,6.95,
B00004WHEX,4.6,12.99,Palm
B00004WHF1,4.0,29.99,
B00004WHF4,4.75,,
B00004WHF9,4.666666666666667,7.0,Palm
B00004WHFK,2.25,,
B00004WHFL,2.25,44.99,
B00004WHFM,2.6666666666666665,89.95,
B00004WHIL,4.133333333333334,129.95,Palm
B00004WLJ2,4.304347826086956,4.99,Gardner Bender
B00004WLJ4,4.7894736842105265,4.89,GB
B00004WLJ5,4.411764705882353,5.98,GB
B00004WLJ7,4.416666666666667,2.1,GB
B00004WLJ8,3.7777777777777777,3.99,GB
B00004WLJ9,4.833333333333333,9.95,GB
B00004WZON,4.8,22.25,
B00004X036,2.0,43.88,Polaroid
B00004X0ZG,4.666666666666667,29.95,Tamrac
B00004X0ZH,4.428571428571429,,
B00004X0ZI,4.428571428571429,31.95,Tamrac
B00004X0ZO,3.7222222222222223,69.95,Tamrac
B00004X107,4.888888888888889,74.95,Tamrac
B00004X109,4.214285714285714,109.95,Tamrac
B00004X10B,4.67741935483871,149.95,Tamrac
B00004X10C,4.5,87.88,Tamrac
B00004XO1V,3.7142857142857144,46.99,
B00004XOM3,4.821705426356589,599.0,Canon
B00004XOND,4.0,299.0,
B00004XONF,4.066666666666666,649.0,
B00004XOYF,3.0,,
B00004XRD3,2.8333333333333335,5.09,
B00004XRDB,3.3333333333333335,115.99,Linksys
B00004XRDM,3.2,84.99,
B00004XRDN,4.333333333333333,3.5,
B00004XRDO,3.8333333333333335,39.0,Linksys
B00004XRED,4.695652173913044,44.18,
B00004XSHN,4.3,12.49,
B00004Y2MM,4.866666666666666,19.89,
B00004Y2US,4.111111111111111,15.99,Monster
B00004Y2VS,5.0,25.48,
B00004Y2VV,4.363636363636363,99.99,Monster
B00004Y2ZF,4.076923076923077,219.27,
B00004Y2ZX,3.8,52.0,Iomega
B00004Y3TO,4.8,11.98,
B00004Y3UX,4.214285714285714,72.51,Monster
B00004Y3UY,4.6,38.6,
B00004Y7CF,4.2727272727272725,99.95,Iomega
B00004Y7TC,4.214285714285714,,
B00004Y7TD,4.416666666666667,18.17,
B00004YBVE,3.5,,
B00004YBVF,2.6,,
B00004YK2W,4.0,15.19,
B00004YKDQ,4.0,13.99,
B00004YKDT,3.8333333333333335,10.15,
B00004YKHT,3.4,,
B00004YKNF,5.0,10.89,Imation
B00004YMBK,4.615384615384615,33.0,
B00004YMBL,4.25,,
B00004YMCA,4.764705882352941,29.95,
B00004YNWQ,4.545454545454546,16.99,Targus
B00004YRVY,4.375,119.99,
B00004YV85,4.5,15.67,
B00004YZLV,4.916666666666667,209.0,
B00004YZLX,4.620689655172414,299.0,
B00004YZLY,4.461538461538462,479.0,
B00004YZLZ,4.846153846153846,17.12,
B00004YZQ8,4.571428571428571,479.0,
B00004Z0BN,3.9347826086956523,18.73,
B00004Z0BO,4.021739130434782,32.5,
B00004Z0C7,4.333333333333333,8.51,Maxell
B00004Z591,3.6,5.28,BELKIN
B00004Z5AX,3.7142857142857144,7.5,BELKIN
B00004Z5BX,4.666666666666667,5.75,BELKIN
B00004Z5CQ,3.9615384615384617,4.98,Belkin
B00004Z5D1,4.521978021978022,6.89,BELKIN
B00004Z5H3,4.571428571428571,4.94,BELKIN
B00004Z5IF,4.8,10.56,Belkin
B00004Z5IU,4.6,3.91,BELKIN
B00004Z5IW,4.1,16.5,
B00004Z5KA,4.777777777777778,3.99,BELKIN
B00004Z5KG,4.8,5.83,BELKIN
B00004Z5KH,4.166666666666667,6.36,Belkin
B00004Z5KI,4.769230769230769,5.36,BELKIN
B00004Z5KZ,4.866666666666666,6.32,BELKIN
B00004Z5L8,4.6,1.99,Linksys
B00004Z5LJ,4.333333333333333,7.5,BELKIN
B00004Z5LR,2.5,7.11,Fellowes
B00004Z5LZ,4.15,10.26,BELKIN
B00004Z5M1,4.681159420289855,5.34,BELKIN
B00004Z5MG,4.545454545454546,4.27,BELKIN
B00004Z5NH,3.8333333333333335,2.95,BELKIN
B00004Z5OP,4.888888888888889,7.96,BELKIN
B00004Z5P4,4.6,6.95,BELKIN
B00004Z5PY,4.489583333333333,7.14,BELKIN
B00004Z5QU,4.7407407407407405,9.25,BELKIN
B00004Z5T2,2.875,2.12,BELKIN
B00004Z5UM,4.0625,4.84,BELKIN
B00004Z5VB,3.9444444444444446,12.9,BELKIN
B00004Z5VS,4.450980392156863,13.5,Belkin
B00004Z5YQ,4.714285714285714,14.29,Brother
B00004Z61H,3.5714285714285716,54.95,Polaroid
B00004Z62S,4.266666666666667,12.5,BELKIN
B00004Z64Y,4.333333333333333,17.81,Fellowes
B00004Z668,4.0,21.13,Brother
B00004Z68P,4.7272727272727275,9.69,BELKIN
B00004Z6BJ,3.4285714285714284,9.25,Netgear
B00004Z6GY,5.0,13.75,Belkin
B00004Z6HJ,4.4375,9.89,BELKIN
B00004Z6HU,5.0,43.18,BELKIN
B00004Z6I3,3.875,,
B00004Z6JF,4.5,13.77,BELKIN
B00004Z6KW,2.6470588235294117,18.95,
B00004Z6M7,4.0,20.42,APC
B00004Z6N6,4.446808510638298,22.79,Belkin
B00004Z6ON,3.8,24.76,Kensington
B00004Z6PI,4.363636363636363,20.37,
B00004Z6PN,4.833333333333333,31.99,
B00004Z6Q6,4.1875,49.69,Koss
B00004Z6R4,4.333333333333333,23.59,BELKIN
B00004Z6XS,4.041666666666667,43.24,Belkin
B00004Z6Z4,4.666666666666667,9.44,BELKIN
B00004Z78V,4.888888888888889,66.89,APC
B00004Z7A5,4.8,,
B00004Z7CQ,4.0,72.38,APC
B00004Z7F0,4.0,25.86,Lenovo
B00004Z7G9,4.057142857142857,90.68,Koss
B00004Z7H5,4.071428571428571,199.99,
B00004Z7XX,3.0,95.29,Plantronics
B00004Z8BC,4.266666666666667,152.17,APC
B00004Z8GN,3.7142857142857144,164.82,APC
B00004Z8HC,4.571428571428571,157.53,BELKIN
B00004Z8SC,3.857142857142857,,
B00004Z92Q,4.857142857142857,,
B00004Z9FF,4.1,,
B00004ZA7W,3.625,,
B00004ZB0V,3.6,7.95,
B00004ZB57,4.833333333333333,24.95,
B00004ZC8N,4.166666666666667,23.68,Pioneer Photo Albums
B00004ZC8Y,4.392045454545454,17.2,Tiffen
B00004ZC9B,4.866666666666666,9.99,Tiffen
B00004ZC9V,4.483870967741935,13.25,Tiffen
B00004ZC9Y,4.0,11.9,Tiffen
B00004ZCA0,4.0,11.48,Tiffen
B00004ZCA5,4.387096774193548,8.28,Tiffen
B00004ZCAQ,4.8,10.95,Tiffen
B00004ZCAT,4.2926829268292686,32.17,Tiffen
B00004ZCB3,4.3076923076923075,16.49,Tiffen
B00004ZCB4,4.348837209302325,16.49,Tiffen
B00004ZCC2,3.5454545454545454,39.95,Tiffen
B00004ZCDD,4.230769230769231,9.99,Tiffen
B00004ZCFN,4.166666666666667,10.75,Pioneer Photo Albums
B00004ZCJE,4.282193958664547,4.95,Tiffen
B00004ZCK5,4.0,59.95,Tiffen
B00004ZCKL,3.6923076923076925,41.95,Tiffen
B00004ZCKV,4.254385964912281,32.99,Tiffen
B00004ZCLV,4.4,3.3,Pioneer Photo Albums
B00004ZCNS,4.833333333333333,22.46,Kodak
B00004ZCPG,4.166666666666667,,
B00004ZCPH,4.428571428571429,13.25,Hakuba
B00004ZD2X,3.727272727272727,199.0,
B00004ZD2Y,4.0,196.95,
B00004ZD30,4.333333333333333,6.99,
B00004ZD32,4.6,5.99,
B00004ZDB1,4.142857142857143,33.0,Cokin
B00004ZDBT,4.0,26.29,Cokin
B00004ZEPB,4.777777777777778,121.0,
B0000501T1,4.4,773.5,Sigma
B00005045X,3.6,10.91,
B0000504DH,4.117647058823529,9.59,
B000050AOO,2.6,12.36,
B000050AQ7,4.526315789473684,14.95,Memorex
B000050AUJ,4.428571428571429,11.99,
B000050FH8,3.8,,
B000050LUE,4.888888888888889,7.55,
B000050M6M,4.444444444444445,89.95,Canon
B000050MJF,3.75,68.95,Canon
B000050MN8,3.6,,
B000050MNA,4.857142857142857,,
B000050NON,3.4,20.74,
B000050NPX,3.176470588235294,,
B000050X97,3.3636363636363638,,
B000050XL7,4.571428571428571,268.0,
B000050XPQ,4.0,145.95,
B000050YAP,4.0,10.8,
B00005105L,4.0,6.29,Cyber Acoustics
B00005105N,4.0,24.95,Olympus
B00005108H,4.857142857142857,0.97,C2G
B00005108J,4.5,8.49,Antec
B0000510C0,3.4,13.18,C2G
B0000510CF,4.625,3.55,Memory Upgrades
B0000510EL,4.5,7.25,Memory Upgrades
B0000510IA,4.16,4.37,CD Technology
B0000510R4,4.454545454545454,20.8,Tripp Lite
B0000510SS,3.857142857142857,9.25,StarTech
B0000510T7,4.283018867924528,10.25,C2G
B0000510VF,3.5555555555555554,49.49,Olympus
B0000510YX,4.0,3.28,C2G
B0000510Z9,4.5,32.92,Tripp Lite
B0000510ZO,4.708571428571428,4.88,C2G
B00005110B,4.5,5.58,Verbatim
B00005110L,4.125,14.88,StarTech
B00005111H,4.8,64.99,
B00005111L,4.612903225806452,30.47,Tripp Lite
B00005111M,4.454545454545454,3.34,C2G
B00005111T,4.625,2.21,C2G
B000051123,4.9,,
B00005114Z,4.525,1.1,C2G
B00005115S,4.672727272727273,43.38,Tripp Lite
B000051174,4.56,49.99,Tripp Lite
B000051189,4.818181818181818,7.46,C2G
B00005119M,5.0,35.28,Tripp Lite
B0000511A8,4.833333333333333,0.97,Tripp Lite
B0000511BI,4.84,9.01,Verbatim
B0000511GQ,3.466666666666667,6.08,Cyber Acoustics
B0000511LW,4.4,7.69,StarTech
B0000511OJ,4.333333333333333,14.99,
B0000511T7,2.2,0.39,Tripp Lite
B0000511U7,4.8625,52.48,Tripp Lite
